HAT_NO;HAT_ADI;GUZERGAH_ACIKLAMA;ACIKLAMA;HAT_BASLANGIC;HAT_BITIS
5;NARLIDERE - ÜÇKUYULAR İSKELE;MİTHAT PAŞA CAD. - 9 EYLÜL HASTANESİ-F.ALTAY AKT.;;NARLIDERE;ÜÇKUYULAR İSKELE
6;ARIKENT - ÜÇKUYULAR İSK.;MİTHAT PAŞA CAD. - 9 EYLÜL HASTANESİ;;ARIKENT;ÜÇKUYULAR İSKELE
7;SAHİLEVLERİ - ÜÇKUYULAR İSK.;MİTHAT PAŞA CAD. - 9 EYLÜL HASTANESİ;;SAHİLEVLERİ;ÜÇKUYULAR İSKELE
8;GÜZELBAHÇE - F.ALTAY AKTARMA MERKEZİ;SEFERİHİSAR KAVŞAĞI-MİTHAT PAŞA CAD. - 9 EYLÜL HASTANESİ;;GÜZELBAHÇE;F.ALTAY AKT.
9;ÖZZÜMRÜT EVLERİ - SİTELER;MİTHATPAŞA CAD.- ISTIKBAL CAD.;;ÖZZÜMRÜT EVLERİ;SİTELER
10;ÜÇKUYULAR İSKELE - KONAK;MİTHATPAŞA CAD.-ASANSÖR-KARATAŞ;;ÜÇKUYULAR İSKELE;KONAK
15;İNÖNÜ - KONAK;ÇANKAYA MAH.-NOKTA-İNÖNÜ CAD.;;İNÖNÜ MAH.;KONAK
16;VATAN MAHALLESİ - ÜÇYOL;POLAT CAD.-YILDIZ CAD.-ORDU CAD.;;VATAN MAH.;ÜÇYOL METRO
17;UZUNDERE TOPLU KONUTLARI - F.ALTAY AKTARMA MERKEZİ;ÇEVRE YOLU-LİMONTEPE KAVŞAĞI;;UZUNDERE TOPLU KONUTLARI;F.ALTAY AKT.
18;YEŞİLYURT - KONAK;ATATÜRK EĞT.ARŞ.HAST.-ORDU CAD.- VARYANT;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR;YEŞİLYURT;KONAK
19;ŞEHİTLER - KONAK;BASIN SİTESİ-ATATÜRK EĞT. ARŞ.HAST.- ÜÇYOL;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR;ŞEHİTLER;KONAK
20;KOOPERATİF EVLERİ - KONAK;SAİM ÇIKRIKÇI CAD.-BOZYAKA EĞT. ARŞ.HAST.-ÜÇYOL;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR;KOOP. EVLERİ;KONAK
21;HALİL RIFAT PAŞA - KONAK;ŞATO;HATTIMIZ RİNG HAT OLUP HALİL RIFAT PAŞA'DAN SAAT UYGULAMASI YOKTUR.;HALİL RIFAT PAŞA;KONAK
23;UZUNDERE - KONAK;ESKİİZMİR CAD.-EŞREFPAŞA-VARYANT;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR;UZUNDERE;KONAK
24;KAVACIK - ÜÇKUYULAR İSKELE;TIRAZLI-LİMONTEPE KAVŞAĞI-ÇEVRE YOLU;;KAVACIK;ÜÇKUYULAR İSKELE
25;OYUNLAR KÖYÜ - ÜÇKUYULAR İSKELE;ÇEVRE YOLU-LİMONTEPE KAVŞAĞI;;OYUNLAR KÖYÜ;ÜÇKUYULAR İSKELE
27;ÇAMLIK - KONAK;KARABAĞLAR-EŞREFPAŞA-VARYANT;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR;ÇAMLIK;KONAK
28;KAVACIK - GÜZELBAHÇE;PAYAMLI - KÜÇÜKKAYA KÖYÜ;;KAVACIK;GÜZELBAHÇE
29;KADRİYE MAH. - KONAK;EŞREFPAŞA-VARYANT;;KADRİYE MAH.;KONAK
30;KAYNAK - KONAK;HASAN ÖZDEMİR MAH.- EŞREFPAŞA -VARYANT;;KAYNAK;KONAK
32;ÇİMENTEPE SİTESİ - KONAK;EŞREFPAŞA-VARYANT;;ÇİMENTEPE SİTESİ;KONAK
33;KADİFEKALE - KONAK;EŞREFPAŞA-VARYANT;;KADİFEKALE;KONAK
34;ESENTEPE - GÜMRÜK;TOROS - Y.KEMER - BASMANE;;ESENTEPE;GÜMRÜK
35;BALLIKUYU - KONAK;KAPILAR - BASMANE;;BALLIKUYU;KONAK
36;ŞİRİNYER AKTARMA MERKEZİ - GÜMRÜK;YEŞİLDERE - KAPILAR - BASMANE;;ŞİRİNYER AKT.;GÜMRÜK
39;İSMETPAŞA MAH. - GÜMRÜK;ÇİMENLİ CAMİ - KEMER - BASMANE;;İSMETPAŞA;GÜMRÜK
41;LEVENT - GÜMRÜK;LEVENT - KEMER AKTARMA MERKEZİ - BASMANE;Levent'ten 06.00, ve 06.25, servisleri Toros Meydan Durağı'ndan başlar.;LEVENT;GÜMRÜK
42;ÇINARTEPE - GÜMRÜK;LEVENT - KEMER - BASMANE;;ÇINARTEPE;GÜMRÜK
44;MERSİNPINAR - GÜMRÜK;BOĞAZİÇİ - YENİŞEHİR HASTANELER - BASMANE;;MERSİNPINAR;GÜMRÜK
45;GÜLTEPE - GÜMRÜK;BOĞAZİÇİ - YENİŞEHİR HASTANELER - BASMANE;;GÜLTEPE;GÜMRÜK
46;ÇOBANÇEŞME - GÜMRÜK;LEVENT - KEMER - BASMANE;;ÇOBANÇEŞME;GÜMRÜK
49;TEPECİK EĞİTİM ARAŞTIRMA HASTANESİ - LOZAN MEYDANI;BASMANE GAR- GAZİLER CAD.- KEMER AKTARMA MERKEZİ;HATTIMIZ RİNG HAT OLUP TEPECİK EĞİTİM ARAŞTIRMA HASTANESİNDEN SAAT UYGULAMASI YOKTUR.;TEPECİK EĞİTİM ARAŞTIRMA HASTANESİ;LOZAN MEYDANI
53;MTK ALTINDAĞ - HALKAPINAR METRO;ALTINDAĞ - KEMALPAŞA CAD. - 1. SANAYİ;;ALTINDAĞ;HALKAPINAR METRO
54;OTOGAR - KEMER AKTARMA MERKEZİ;YEŞİLOVA - MERSİNLİ - YENİŞEHİR HASTANELER;;OTOGAR;KEMER AKT.
57;ALTINDAĞ - KEMER AKTARMA MERKEZİ;ALTINDAĞ - YENİŞEHİR HASTANELER;;ALTINDAĞ;KEMER AKT.
58;KANDERE - KEMER AKTARMA MERKEZİ;YENİŞEHİR HASTANELER;;KANDERE;KEMER AKT.
59;BORNOVA METRO - KEMER AKTARMA MERKEZİ;KARACAOĞLAN MAH. - KAMİL TUNCA - YENİŞEHİR HASTANELER;;BORNOVA METRO;KEMER AKT.
60;PINARBAŞI - KEMER AKTARMA MERKEZİ;5. SANAYİ - KEMALPAŞA CAD. - YENİŞEHİR HASTANELER;;PINARBAŞI;KEMER AKT.
64;AYAKKABICILAR SİT. - KEMER AKTARMA MERKEZİ;IŞIKKENT - KEMALPAŞA CAD. - YENİŞEHİR HASTANELER;;AYAKKABICILAR SİTESİ;KEMER AKT.
67;PINARBAŞI - EVKA3 METRO;5. SANAYİ - PINAR CAD. - DOĞANLAR;;PINARBAŞI;EVKA3 METRO
72;İŞÇİEVLERİ - KONAK;ŞİRİNYER - EŞREFPAŞA - İKİÇEŞMELİK;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR;İŞÇİEVLERİ;KONAK
74;YENİGÜN MAH. - ŞİRİNYER AKTARMA MERKEZİ;İNKILAP İST.- KOŞU YOLU;;YENİGÜN MAH.;ŞİRİNYER AKT.
77;NAFİZ GÜRMAN - HALKAPINAR METRO 2;GÜMÜŞPALA - EMEK MAH. - SALHANE YOLU;;NAFİZ GÜRMAN;HALKAPINAR METRO 2
78;YAMANLAR - HALKAPINAR METRO 2;SOĞUKKUYU - BAYRAKLI - SALHANE YOLU;;YAMANLAR;HALKAPINAR METRO 2
82;SİTELER - F.ALTAY AKTARMA MERKEZİ;MİTHATPAŞA CAD.-NARLIDERE-9 EYLÜL HASTANESİ;;SİTELER;F.ALTAY AKT.
84;SALİH OMURTAK - ÜÇYOL METRO;SAİM ÇIKRIKÇI CAD.-BOZYAKA EĞT.ARŞ.HAST.;;SALİH OMURTAK;ÜÇYOL METRO
89;CENNETOĞLU - ÜÇYOL METRO;ZİNCİRLİKUYU-BOZYAKA EĞT.ARŞ.HAST.;;CENNETOĞLU;ÜÇYOL METRO
92;FUAR İZMİR - ÜÇYOL METRO;AKTEPE MAH. - KARABAĞLAR - HALİDE EDİP ADIVAR CAD.;Üçyol'dan 07:25 servisi Yeni Fuar Alanı havuz önüne çıkar. Akşam 17:05 servisi Yeni Fuar Alanı havuz önünden başlar.;FUAR İZMİR;ÜÇYOL METRO
102;ALPASLAN MAH. - HALKAPINAR METRO;MANAS BULV - ADLİYE;;ALPARSLAN MAH.;HALKAPINAR METRO
104;BUCA TOPLU KONUTLARI - KONAK;DOKUZ ÇEŞMELER - ŞİRİNYER - İKİÇEŞMELİK;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR.;BUCA TOPLU KONUTLARI;KONAK
105;ÇAMLIKULE - KONAK;AKINCILAR MAH. - EŞREFPAŞA - İKİÇEŞMELİK;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR;ÇAMLIKULE;KONAK
108;ESERKENT - ÜÇYOL METRO;UĞUR MUMCU-YEŞİLKAYA;;ESERKENT;ÜÇYOL METRO
111;NALDÖKEN - EVKA3 METRO;TÜRKAN ÖZİLHAN DEV.HAST. - 4.SANAYİ;;NALDÖKEN;EVKA3 METRO
114;EVKA 3 - EVKA3 METRO;PROFESORLER SİT. - CENGİZHAN CAD.;;EVKA 3;EVKA3 METRO
117;KAVAKLIDERE - KEMER AKTARMA MERKEZİ;5.SANAYİ SİTESİ- ALTINDAĞ - YENİŞEHİR HASTANELER;;KAVAKLIDERE;KEMER AKT.
119;ALTINDAĞ - BORNOVA METRO;YEŞİLOVA - MERSİNLİ - E.Ü. HASTANESİ;;ALTINDAĞ;BORNOVA METRO
121;MAVİŞEHİR AKTARMA MERKEZİ - KONAK;KARŞIYAKA - ALTINYOL - TALATPAŞA;;MAVİŞEHİR AKTARMA MERKEZİ;KONAK
123;ŞİRİNEVLER - ÇİĞLİ AKTARMA MERKEZİ;EGEKENT DEVLET HASTANESİ;;ŞİRİNEVLER;ÇİĞLİ AKT.
124;ALİ FUAT ERDEN - ÜÇYOL METRO;ESKİİZMİR CAD.-SAİM ÇIKRIKÇI CAD.-BOZYAKA EĞT.ARŞ.HAST.;;ALİ FUAT ERDEN;ÜÇYOL METRO
125;MUSTAFA KEMAL MAH - HALKAPINAR METRO2;ESİN SİT.  - CUMHURİYET MAH. - SALHANE YOLU;;MUSTAFA KEMAL MAH.;HALKAPINAR METRO 2
126;CUMHURİYET MAH. - KARŞIYAKA;SERİNKUYU - GİRNE;;CUMHURİYET MAH.;KARŞIYAKA İSKELE
128;EGEKENT 2 - EGEKENT AKTARMA ;30 AĞUSTOS MAH. - ÇANAKKALE ASFALTI;;EGEKENT 2;EGEKENT AKTARMA
135;DOĞANÇAY - KARŞIYAKA;KUBİLAY CAD. - SOĞUKKUYU - GİRNE;;DOĞANÇAY;KARŞIYAKA İSKELE
136;ÖRNEKKÖY - KARŞIYAKA;ZÜBEYDE HANIM MAH. - DEDEBAŞI - GİRNE;06:00-13:00 saatleri arası Karşıyaka?dan 13:00-17:30 saatleri arası Örnekköy?den yapılan servislerde mezarlığa uğramaktadır.;ÖRNEKKÖY;KARŞIYAKA İSKELE
137;YAMANLAR - KARŞIYAKA;SOĞUKKUYU-GİRNE;;YAMANLAR;KARŞIYAKA İSKELE
140;ÖRNEKKÖY - HALKAPINAR METRO2;DEDEBAŞI - BAYRAKLI - SALHANE YOLU;;ÖRNEKKÖY;HALKAPINAR METRO 2
147;POSTACI - HALKAPINAR METRO2;YENİ GİRNE - BAYRAKLI - SALHANE YOLU;;POSTACI;HALKAPINAR METRO 2
148;ONUR MAH. - HALKAPINAR METRO2;YENİ GİRNE - BAYRAKLI - SALHANE YOLU;;ONUR MAH.;HALKAPINAR METRO 2
149;KAKLIÇ - ÇİĞLİ AKTARMA MERKEZİ;ESKİ HAVAALANI CADDESİ;;KAKLIÇ;ÇİĞLİ AKT.
152;GAZİEMİR - KONAK;KARABAĞLAR- ÜÇYOL -VARYANT;;GAZİEMİR;KONAK
153;ÇAMKULE - KEMER AKTARMA MERKEZİ;MANİFATURACILAR SİT. - YENİŞEHİR HASTANELER;;ÇAMKULE;KEMER AKT.
154;ALTINDAĞ - HALKAPINAR METRO;MANİFATURACILAR SİT. - GAZİLER CAD. - 1. SANAYİ SİT.;;ALTINDAĞ;HALKAPINAR METRO
156;SAĞLIK OCAĞI - ÜÇYOL METRO;KARABAĞLAR - HALİDE EDİP ADIVAR BULV.;;SAĞLIK OCAĞI;ÜÇYOL METRO
157;AKTEPE MAHALLESİ - KONAK;PEKER MAHALLESİ - KARABAĞLAR -  VARYANT;;AKTEPE MAH.;KONAK
167;BALÇOVA KABRİSTAN - F.ALTAY AKTARMA MERKEZİ;ATA CAD.-MİTHATPAŞA CAD.;;BALÇOVA KABRİSTAN;F.ALTAY AKT.
168;EVKA 4 - HALKAPINAR METRO;ATATÜRK MAH. - OSMANGAZİ MAH.- ANKARA ASFALTI;;EVKA-4;HALKAPINAR METRO
171;TINAZTEPE - KONAK;BUCA KOOP. - AKINCILAR MAH. - EŞREFPAŞA;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR;TINAZTEPE;KONAK
176;DEMİRCİKÖY - ADATEPE;KARACAAĞAÇ - KIRKLAR - BELENBAŞI;;DEMİRCİKÖY;ADATEPE
177;KAYNAKLAR - ADATEPE;SEBZE HALİ - Y. MEZARLIK;;KAYNAKLAR;ADATEPE
193;YURTOĞLU - KONAK;CENNETÇEŞME - BOZYAKA - EŞREFPAŞA;;YURTOĞLU;KONAK
196;NAFİZ GÜRMAN - KARŞIYAKA İSKELE;GÜMÜŞPALA - NALDÖKEN -TERSHANE;;NAFİZ GÜRMAN;KARŞIYAKA İSKELE
197;NAFİZ GÜRMAN - KARŞIYAKA;GÜMÜŞPALA - GİRNE;;NAFİZ GÜRMAN;KARŞIYAKA İSKELE
200;MAVİŞEHİR AKTARMA MERKEZİ - HAVALİMANI;KARŞIYAKA - YEŞİLDERE - GAZİEMİR;;MAVİŞEHİR AKT.;HAVALİMANI
202;CUMHURİYET MEYDANI - HAVALİMANI;MUSTAFA KEMAL SAHİL BULV.-F. ALTAY-ÇEVRE YOLU;;CUMHURİYET MEYDANI;HAVALİMANI
204;BORNOVA METRO - HAVALİMANI;OTOGAR-ÇEVRE YOLU-AKÇAY CAD.;;BORNOVA METRO;HAVALİMANI
206;ŞİRİNYER AKTARMA MERKEZİ - HAVALİMANI;;;ŞİRINYER AKTARMA MERKEZİ;HAVALİMANI
214;EVKA3 METRO - KEMER;BORNOVA MERKEZ - MERSİNLİ - YENŞEHİR HASTANELER;;EVKA3 METRO;KEMER AKT.
221;ŞEMİKLER - BOSTANLI İSKELE;BESTEKAR YUSUF NALKESEN SK.-ŞEHİTLER BULV.-BOSTANLI MAH.;;ŞEMİKLER;BOSTANLI İSKELE
222;ŞEMİKLER - KARŞIYAKA İSKELE;ANADOLU CAD. - GİRNE;;ŞEMİKLER;KARŞIYAKA ISKELE
224;CENNETÇEŞME - KONAK;ESKIIZMIR CAD. - BOZYAKA - EŞREFPAŞA;;CENNETÇEŞME;KONAK
229;YAKAKENT MAHALLESİ - BOSTANLI İSKELE;ÇİĞLİ - ATAKENT;Olumsuz Hava Koşulları'nda Çamlıkent Meydan, Çamlıkent Çıkış ve Çamlıkent duraklarına hizmet verilemeyecektir.;YAKAKENT MAHALLESİ;BOSTANLI İSKELE
233;ESBAŞ AKTARMA MERKEZİ - KONAK;BEYAZEVLER - AKINCILAR - EŞREFPAŞA;;ESBAŞ AKT;KONAK
234;BALLIKUYU-GÜMRÜK;Yeşildere Cd.-Eşrefpaşa Cd.-İkiçeşmelik;;BALLIKUYU;GÜMRÜK
240;ZÜBEYDE HANIM MAH. - HALKAPINAR METRO2;YENİ GİRNE - ALTINYOL;;ZÜBEYDE HANIM MAH.;HALKAPINAR METRO 2
247;EVKA 6 - ÇİĞLİ AKTARMA MERKEZİ;AYDINLIK EVLER MAH.;;EVKA-6;ÇİĞLİ AKT.
249;EVKA 4 - KEMER;OSMANGAZİ - ADLİYE - YENİŞEHİR HASTANELER;;EVKA-4;KEMER AKT.
253;H.PINAR METRO 2 - KONAK;ALSANCAK-TALATPAŞA-CUMHURİYET BULV.;;HALKAPINAR METRO;KONAK
258;ONUR MAH. - KARŞIYAKA;POSTACI MAH. - GİRNE;;ONUR MAH.;KARŞIYAKA İSKELE
259;YEŞİLOVA MAHALLESİ - BORNOVA METRO;ABDİ İPEKÇİ CAD. - KARACAOĞLAN MAHALLESİ;HATTIMIZ RİNG HAT OLUP YEŞİLOVA MAHALLESİNDEN SAAT UYGULAMASI YOKTUR;YEŞİLOVA MAHALLESİ;BORNOVA METRO
267;PINARBAŞI - BORNOVA METRO;5. SANAYİ SİT. - AYAKKABICILAR - IŞIKKENT;;PINARBAŞI;BORNOVA METRO
268;DOĞANLAR - BORNOVA METRO;MEVLANA MAH.;;DOĞANLAR;BORNOVA METRO
277;OTOGAR - TINAZTEPE;HAYVAN BARINAĞI - GÖKDERE - YENİ KABRİSTAN;;OTOGAR;TINAZTEPE
285;EVKA 1 - KONAK;ŞİRİNYER - EŞREFPAŞA - İKİÇEŞMELİK;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR;EVKA-1;KONAK
290;BOSTANLI İSKELE - TINAZTEPE;KARŞIYAKA İSKELE-ALTINYOL-ANKARA CD.-ÇEVRE YOLU;;BOSTANLI;TINAZTEPE
295;HARMANDALI - EGEKENT AKTARMA MERKEZİ;Cumhuriyet Mah. - Uğur Mumcu Mah. - Çanakkale Asfaltı;;HARMANDALI;EGEKENT AKT.
302;OTOGAR - KONAK;KEMALPAŞA CAD. - YENİŞEHİR HASTANELER - GAZİ BULV.;;OTOGAR;KONAK
303;BUCA HEYKEL - KONAK;MENDERES CADDESİ-HOMEROS BULV. - KONAK TÜNELİ;;BUCA HEYKEL;KONAK
304;TINAZTEPE-KONAK;MENDERES CAD.- HOMEROS BULV. - KONAK TÜNELLERİ;;TINAZTEPE;KONAK
305;2. İNÖNÜ MAH. - F.ALTAY AKTARMA MERKEZİ;MİTHAT PAŞA CAD. - 9 EYLÜL HASTANESİ;;2.İNÖNÜ;F.ALTAY AKT.
311;İNCİRALTI - F.ALTAY;MİTHAT PAŞA CAD.;;İNCİRALTI;ESENTEPE
313;YENİ MEZARLIK - BORNOVA METRO;ESKİ MEZARLIK - GENÇLİK CAD.;;YENİ MEZARLIK;BORNOVA METRO
314;EVKA 3 - BORNOVA METRO;4. SANAYİ SİT. - TÜRKAN ÖZİLHAN DEVLET HASTANESİ - SUPHİ KOYUNCU LİSESİ;;EVKA 3;BORNOVA METRO
315;KARAÇAM - EVKA3 METRO;MANİSA YOLU;;KARAÇAM;EVKA3 METRO
316;BEŞYOL - EVKA3 METRO;YAKAKÖY - ÇİÇEKLİKÖY - SARNIÇKÖY;Hafta içi günleri hattımızın Beşyol Mahallesi kalkışlı 06.10 servisi Sarnıçköy Mahallesi'nden başlayacak olup, Evka3 Metro kalkışlı 19.25 servisi ise Sarnıçköy Mahallesi'nde son durak yapacaktır.;BEŞYOL;EVKA3 METRO
317;KAVAKLIDERE - EVKA3 METRO;YEŞİLÇAM - HACILARKIRI - TÜRKAN ÖZİLHAN DEVLET HASTANESİ;;KAVAKLIDERE;EVKA3 METRO
321;ÇAMLI - F. ALTAY AKTARMA MERKEZİ;YELKI - GÜZELBAHÇE - MITHATPAŞA;;ÇAMLI MAH.;F.ALTAY AKT.
322;MUSTAFA KEMAL MAHALLESİ - BOSTANLI İSKELE;ESİN SİTESİ-ÇEVRE YOLU-CAHER DUDAYEV BULV.;;MUSTAFA KEMAL MAHALLESİ;BOSTANLI İSKELE
326;MUSTAFA KEMAL MAH. - KARŞIYAKA;İNÖNÜ MAH. - CUMHURİYET MAH. -  GİRNE;;MUSTAFA KEMAL MAH.;KARŞIYAKA İSKELE
327;İNÖNÜ MAHALLESİ-BOSTANLI İSKELE;ÇEVREYOLU-CUMHURİYET MAH.-CAHER DUDAYEV BULV.;Hattımız ring hat olup İnönü Mahallesinden saat uygulaması yoktur. Ancak hafta içi ve cumartesi günleri 06:00 servisi Soyak İzsu durağından başlamaktadır.;İNÖNÜ MAHALLESİ;BOSTANLI
328;EVKA 3 METRO - SALHANE AKTARMA MERKEZİ;BORNOVA HÜKÜMET KONAĞI-MANAVKUYU ;;EVKA3 METRO;SALHANE AKT.
329;GÜZELTEPE - ÇİĞLİ AKTARMA MERKEZİ;ÇİĞLİ KOOP - ŞİRİNTEPE;;GÜZELTEPE;ÇİĞLİ AKT.
